ID;Income_110805;sex;UBICACION;Edad;Area;Fecha Ingreso
2877;1;M;PROVINCIA;39;BANCA EMPRESAS E INSTITUCIONES;1/10/13
2895;0;H;LIMA;32;ENGINEERING;1/10/13
2898;0;M;LIMA;35;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/01/14
2899;1;M;LIMA;39;BANCA EMPRESAS E INSTITUCIONES;1/10/13
2903;1;M;LIMA;39;ENGINEERING;1/12/13
2910;1;M;LIMA;41;ENGINEERING;1/08/13
2915;1;M;PROVINCIA;40;ENGINEERING;1/11/13
2935;1;H;PROVINCIA;29;ENGINEERING;1/01/14
2938;1;H;LIMA;41;ENGINEERING;1/05/15
2951;0;M;LIMA;31;OTROS;13/06/12
2954;1;M;LIMA;45;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/14
2957;1;H;LIMA;32;ENGINEERING;1/07/13
2958;1;M;LIMA;43;BANCA EMPRESAS E INSTITUCIONES;1/01/13
2970;1;M;LIMA;35;ENGINEERING;1/03/14
2971;1;H;LIMA;35;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/05/14
2972;1;M;LIMA;33;ENGINEERING;1/05/14
2973;1;M;LIMA;37;ENGINEERING;1/05/14
2976;0;H;PROVINCIA;27;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/12
2978;1;M;LIMA;28;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/03/14
2985;0;M;PROVINCIA;35;CORPORATE & INVESTMENT BANKING;1/07/14
2998;0;H;PROVINCIA;42;OTROS;1/06/14
3015;1;H;LIMA;46;ENGINEERING;1/07/14
3016;1;M;LIMA;40;CORPORATE & INVESTMENT BANKING;1/05/14
3020;1;H;LIMA;35;ENGINEERING;1/10/12
3042;0;H;LIMA;43;TALENTO & CULTURA;1/06/14
3072;0;H;LIMA;31;OTROS;24/02/14
3081;0;H;PROVINCIA;30;OTROS;20/08/13
3099;1;M;LIMA;30;ENGINEERING;1/01/15
3153;1;M;PROVINCIA;29;BANCA EMPRESAS E INSTITUCIONES;1/06/15
3179;0;M;LIMA;28;CORPORATE & INVESTMENT BANKING;1/04/15
3189;1;H;LIMA;28;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/05/13
3199;0;M;LIMA;30;RIESGOS;29/04/13
3204;0;H;PROVINCIA;37;ENGINEERING;29/04/13
3226;0;M;PROVINCIA;34;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/06/15
3227;0;M;LIMA;35;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/06/15
3228;1;H;LIMA;34;ENGINEERING;1/06/15
3229;1;H;LIMA;34;ENGINEERING;1/04/15
3230;1;H;LIMA;40;BUSINESS DEVELOPMENT & DIGITAL BANKIN;17/04/15
3249;1;H;PROVINCIA;32;ENGINEERING;1/06/15
3250;0;M;PROVINCIA;39;OTROS;1/03/15
3259;1;M;PROVINCIA;38;ENGINEERING;13/08/15
3265;0;M;LIMA;29;ENGINEERING;1/05/15
3294;1;M;PROVINCIA;31;CORPORATE & INVESTMENT BANKING;1/07/15
3295;0;M;PROVINCIA;41;OTROS;1/07/15
3296;1;M;PROVINCIA;39;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/15
3297;1;M;LIMA;39;CORPORATE & INVESTMENT BANKING;8/02/16
3318;1;M;LIMA;35;CORPORATE & INVESTMENT BANKING;15/09/13
3319;1;M;LIMA;39;BANCA EMPRESAS E INSTITUCIONES;16/09/13
3347;1;M;PROVINCIA;36;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/06/14
3368;1;H;LIMA;35;BANCA EMPRESAS E INSTITUCIONES;1/01/15
3369;1;H;LIMA;28;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/15
3372;0;M;LIMA;32;ENGINEERING;1/09/15
3373;0;M;LIMA;27;RIESGOS;1/01/16
3374;0;H;PROVINCIA;28;OTROS;15/01/14
3425;0;H;LIMA;29;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/05/15
3435;0;M;PROVINCIA;34;RIESGOS;1/04/16
3437;1;H;PROVINCIA;26;ENGINEERING;1/12/15
3439;1;H;PROVINCIA;30;ENGINEERING;1/04/16
3463;1;M;LIMA;27;ENGINEERING;1/06/17
